"borough" "neighborhood" "building.class.category" "tax.class.at.present" "block" "lot" "ease.ment" "building.class.at.present" "address" "apartment.number" "zip.code" "residential.units" "commercial.units" "total.units" "land.square.feet" "gross.square.feet" "year.built" "tax.class.at.time.of.sale" "building.class.at.time.of.sale" "sale.price" "sale.date" "sale.price.n" "gross.sqft" "land.sqft" "outliers"
"7047" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 5965 60 NA "A5" "28-10 UTOPIA PARKWAY                     " "            " 11358 1 0 1 " 2,000 " " 1,504 " 1940 1 "A5" " 738,000 " "11/19/2015" 738000 1504 2000 0
"7048" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6353 8 NA "A1" "130-10 58TH AVENUE                       " "            " 11355 1 0 1 " 3,000 " " 1,446 " 1925 1 "A1" " 20,000 " "2/23/2016" 20000 1446 3000 0
"7050" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6355 18 NA "A2" "130-28 59 AVENUE                         " "            " 11355 1 0 1 " 3,000 " " 800 " 1920 1 "A2" " 900,000 " "6/8/2016" 9e+05 800 3000 0
"7051" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6355 18 NA "A2" "130-28 59TH   AVENUE                     " "            " 11355 1 0 1 " 3,000 " " 800 " 1920 1 "A2" " 880,000 " "2/5/2016" 880000 800 3000 0
"7052" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6364 79 NA "A1" "132-34 58TH   ROAD                       " "            " 11355 1 0 1 " 2,500 " " 1,568 " 1920 1 "A1" " 810,000 " "11/13/2015" 810000 1568 2500 0
"7054" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6374 16 NA "A2" "136-34 58TH ROAD                         " "            " 11355 1 0 1 " 4,000 " " 1,066 " 1920 1 "A2" " 970,000 " "10/14/2015" 970000 1066 4000 0
"7057" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6374 45 NA "A5" "136-11 59TH   AVENUE                     " "            " 11355 1 0 1 " 2,000 " " 2,040 " 1945 1 "A5" " 838,000 " "11/30/2015" 838000 2040 2000 0
"7058" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6379 18 NA "A5" "136-36 59 AVENUE                         " "            " 11355 1 0 1 " 2,000 " " 1,320 " 1940 1 "A5" " 865,000 " "8/9/2016" 865000 1320 2000 0
"7060" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6382 19 NA "A5" "138-34 60TH AVENUE                       " "            " 11355 1 0 1 " 1,600 " " 1,056 " 1940 1 "A5" " 680,000 " "4/14/2016" 680000 1056 1600 0
"7061" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6403 31 NA "A5" "140-27 58TH   ROAD                       " "            " 11355 1 0 1 " 2,000 " " 1,600 " 1935 1 "A5" " 810,000 " "9/9/2015" 810000 1600 2000 0
"7062" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6403 43 NA "A5" "140-03 58TH ROAD                         " "            " 11355 1 0 1 " 2,000 " " 1,600 " 1935 1 "A5" " 845,000 " "12/11/2015" 845000 1600 2000 0
"7063" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6404 6 NA "A5" "140-14 58TH   ROAD                       " "            " 11355 1 0 1 " 1,948 " " 1,632 " 1935 1 "A5" " 820,000 " "3/8/2016" 820000 1632 1948 0
"7065" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6404 22 NA "A5" "141-11 59 AVENUE                         " "            " 11355 1 0 1 " 1,948 " " 1,520 " 1935 1 "A5" " 860,000 " "9/10/2015" 860000 1520 1948 0
"7067" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6406 55 NA "A1" "57-06 146 STREET                         " "            " 11355 1 0 1 " 3,950 " " 1,642 " 1940 1 "A1" " 965,000 " "9/1/2015" 965000 1642 3950 0
"7069" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6409 41 NA "A5" "142-28 59TH AVE                          " "            " 11355 1 0 1 " 2,200 " " 1,697 " 1945 1 "A5" " 830,000 " "11/25/2015" 830000 1697 2200 0
"7071" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6410 37 NA "A5" "142-28 60TH AVENUE                       " "            " 11355 1 0 1 " 2,200 " " 966 " 1950 1 "A5" " 735,000 " "11/4/2015" 735000 966 2200 0
"7072" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6414 14 NA "A1" "146-16 58TH AVENUE                       " "            " 11355 1 0 1 " 4,000 " " 2,965 " 1940 1 "A1" " 1,650,000 " "4/29/2016" 1650000 2965 4000 0
"7073" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6414 18 NA "A5" "146-22 58TH   AVENUE                     " "            " 11355 1 0 1 " 2,200 " " 974 " 1950 1 "A5" " 813,000 " "9/16/2015" 813000 974 2200 0
"7074" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6414 36 NA "A5" "146-35 58 ROAD                           " "            " 11355 1 0 1 " 2,200 " " 974 " 1950 1 "A5" " 770,000 " "1/14/2016" 770000 974 2200 0
"7076" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6415 31 NA "A5" "146-47 59TH AVENUE                       " "            " 11355 1 0 1 " 1,800 " " 1,732 " 1940 1 "A5" " 790,000 " "10/23/2015" 790000 1732 1800 0
"7079" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6417 49 NA "A5" "146-15 HOR HARDING EP SR N               " "            " 11367 1 0 1 " 1,854 " " 1,620 " 1950 1 "A5" " 750,000 " "4/8/2016" 750000 1620 1854 0
"7080" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6422 54 NA "A5" "148-26 58TH AVENUE                       " "            " 11355 1 0 1 " 2,800 " " 1,440 " 1950 1 "A5" " 860,000 " "7/25/2016" 860000 1440 2800 0
"7085" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6424 20 NA "A5" "148-39 60TH AVENUE                       " "            " 11355 1 0 1 " 1,600 " " 1,312 " 1945 1 "A5" " 300,000 " "2/1/2016" 3e+05 1312 1600 0
"7086" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6425 2 NA "A5" "148-57 HORACE HARDING EXPRE              " "            " 11367 1 0 1 " 1,800 " " 1,530 " 1965 1 "A5" " 720,000 " "5/31/2016" 720000 1530 1800 0
"7087" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6425 8 NA "A5" "148-45 HORACE HARDING EXPRE              " "            " 11367 1 0 1 " 1,800 " " 1,530 " 1965 1 "A5" " 790,000 " "6/16/2016" 790000 1530 1800 0
"7088" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6425 63 NA "A5" "148-60 60TH AVENUE                       " "            " 11355 1 0 1 " 1,800 " " 1,224 " 1939 1 "A5" " 848,000 " "6/8/2016" 848000 1224 1800 0
"7090" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6430 12 NA "A5" "150-28 BOOTH MEMORIAL AVE                " "            " 11355 1 0 1 " 1,800 " " 1,080 " 1950 1 "A5" " 680,000 " "7/6/2016" 680000 1080 1800 0
"7091" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6430 48 NA "A5" "150-45 58TH AVENUE                       " "            " 11355 1 0 1 " 2,625 " " 1,224 " 1950 1 "A5" " 880,000 " "7/29/2016" 880000 1224 2625 0
"7092" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6430 52 NA "A5" "150-39 58TH AVENUE                       " "            " 11355 1 0 1 " 1,800 " " 1,224 " 1950 1 "A5" " 790,000 " "10/6/2015" 790000 1224 1800 0
"7095" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6431 65 NA "A5" "150-20 58TH   AVENUE                     " "            " 11355 1 0 1 " 1,800 " " 1,224 " 1955 1 "A5" " 765,000 " "1/20/2016" 765000 1224 1800 0
"7096" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6431 72 NA "A5" "150-34 58TH   AVENUE                     " "            " 11355 1 0 1 " 1,800 " " 1,224 " 1955 1 "A5" " 770,000 " "4/15/2016" 770000 1224 1800 0
"7099" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6433 32 NA "A5" "150-39 60TH AVENUE                       " "            " 11355 1 0 1 " 1,800 " " 1,732 " 1945 1 "A5" " 847,000 " "7/25/2016" 847000 1732 1800 0
"7102" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6438 40 NA "A5" "153-08 58TH   AVENUE                     " "            " 11355 1 0 1 " 1,800 " " 1,683 " 1950 1 "A5" " 710,000 " "1/7/2016" 710000 1683 1800 0
"7104" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6439 50 NA "A5" "153-20 58TH   ROAD                       " "            " 11355 1 0 1 " 1,600 " " 960 " 1950 1 "A5" " 599,700 " "10/15/2015" 599700 960 1600 0
"7105" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6439 55 NA "A5" "153-32 58TH   ROAD                       " "            " 11355 1 0 1 " 1,600 " " 1,112 " 1950 1 "A5" " 795,000 " "11/4/2015" 795000 1112 1600 0
"7106" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6441 17 NA "A0" "153-34 60TH AVENUE                       " "            " 11355 1 0 1 " 4,000 " " 1,767 " 1945 1 "A0" " 180,000 " "1/8/2016" 180000 1767 4000 0
"7107" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6441 17 NA "A0" "153-34 60 AVENUE                         " "            " 11355 1 0 1 " 4,000 " " 1,767 " 1945 1 "A0" " 150,000 " "1/2/2016" 150000 1767 4000 0
"7108" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6719 12 NA "A5" "154-09 58TH   AVENUE                     " "            " 11355 1 0 1 " 2,500 " " 1,056 " 1955 1 "A5" " 700,000 " "4/8/2016" 7e+05 1056 2500 0
"7109" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6721 9 NA "A2" "154-21 59TH AVENUE                       " "            " 11355 1 0 1 " 3,456 " " 1,075 " 1960 1 "A2" " 700,000 " "3/28/2016" 7e+05 1075 3456 0
"7110" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6722 73 NA "A5" "155-15 59 AVE                            " "            " 11355 1 0 1 " 1,800 " " 1,188 " 1960 1 "A5" " 700,000 " "10/23/2015" 7e+05 1188 1800 0
"7111" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6724 6 NA "A0" "57-04 PARSONS BLVD.,                     " "            " 11365 1 0 1 " 4,530 " " 1,225 " 1950 1 "A0" " 860,000 " "10/22/2015" 860000 1225 4530 0
"7112" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6724 22 NA "A0" "57-36 PARSONS BOULEVARD                  " "            " 11365 1 0 1 " 4,000 " " 1,225 " 1950 1 "A0" " 406,666 " "9/2/2015" 406666 1225 4000 0
"7117" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6727 34 NA "A2" "57-12 161ST   STREET                     " "            " 11365 1 0 1 " 3,500 " " 1,050 " 1935 1 "A2" " 768,000 " "1/14/2016" 768000 1050 3500 0
"7118" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6729 45 NA "A5" "57-22 163RD STREET                       " "            " 11365 1 0 1 " 2,000 " " 1,310 " 1950 1 "A5" " 672,000 " "10/14/2015" 672000 1310 2000 0
"7120" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6734 13 NA "A1" "59-41 156TH   STREET                     " "            " 11355 1 0 1 " 2,500 " " 1,352 " 1930 1 "A1" " 690,000 " "10/29/2015" 690000 1352 2500 0
"7123" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6734 48 NA "A1" "59-20 157TH ST                           " "            " 11355 1 0 1 " 3,000 " " 1,624 " 1930 1 "A1" " 770,000 " "7/27/2016" 770000 1624 3000 0
"7126" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6736 36 NA "A1" "158-12 59TH AVENUE                       " "            " 11365 1 0 1 " 2,500 " " 1,320 " 1940 1 "A1" " 735,000 " "3/18/2016" 735000 1320 2500 0
"7127" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6738 56 NA "A1" "59-48 161 STREET                         " "            " 11365 1 0 1 " 2,400 " " 1,408 " 1925 1 "A1" " 675,000 " "1/27/2016" 675000 1408 2400 0
"7128" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 6866 381 NA "A1" "169-07 HORACE HARDING EXPRE              " "            " 11365 1 0 1 " 4,767 " " 1,776 " 1920 1 "A1" " 699,000 " "3/31/2016" 699000 1776 4767 0
"7129" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 7376 7 NA "A5" "50-06 FRANCIS LEWIS BLVD                 " "            " 11364 1 0 1 " 2,522 " " 896 " 1955 1 "A5" " 648,000 " "6/16/2016" 648000 896 2522 0
"7131" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 7426 27 NA "A0" "56-16 199TH STREET                       " "            " 11365 1 0 1 " 5,280 " " 1,289 " 1945 1 "A0" " 830,000 " "8/12/2016" 830000 1289 5280 0
"7132" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 7426 29 NA "A0" "56-20 199TH STREET                       " "            " 11365 1 0 1 " 4,720 " " 1,824 " 1945 1 "A0" " 753,505 " "5/27/2016" 753505 1824 4720 0
"7133" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 7426 29 NA "A0" "56-20 199TH   STREET                     " "            " 11365 1 0 1 " 4,720 " " 1,824 " 1945 1 "A0" " 693,905 " "3/14/2016" 693905 1824 4720 0
"7134" 4 "FLUSHING-NORTH           " "01  ONE FAMILY DWELLINGS                    " "1" 7428 10 NA "A1" "56-08 FRANCIS LEWIS BLVD                 " "            " 11364 1 0 1 " 4,100 " " 2,034 " 1945 1 "A1" " 997,885 " "12/9/2015" 997885 2034 4100 0
"7136" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4696 15 NA "B1" "150-20 24TH   ROAD                       " "            " 11357 2 0 2 " 2,942 " " 1,962 " 1980 1 "B1" " 995,000 " "10/22/2015" 995000 1962 2942 0
"7140" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4781 28 NA "B1" "144-28 26TH   AVENUE                     " "            " 11354 2 0 2 " 2,100 " " 2,625 " 1965 1 "B1" " 999,999 " "8/22/2016" 999999 2625 2100 0
"7141" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4781 57 NA "B1" "144-53 27TH AVENUE                       " "            " 11354 2 0 2 " 3,700 " " 3,388 " 1965 1 "B1" " 1,330,000 " "11/20/2015" 1330000 3388 3700 0
"7143" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4783 24 NA "B1" "144-38 28TH AVENUE                       " "            " 11354 2 0 2 " 4,100 " " 3,375 " 1965 1 "B1" " 1,140,000 " "11/23/2015" 1140000 3375 4100 0
"7144" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4784 37 NA "B2" "144-66 29TH   AVENUE                     " "            " 11354 2 0 2 " 4,080 " " 2,170 " 1980 1 "B2" " 1,350,000 " "9/21/2015" 1350000 2170 4080 0
"7145" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4789 27 NA "B3" "144-28 32ND   AVENUE                     " "            " 11354 2 0 2 " 7,500 " " 3,433 " 1925 1 "B3" " 1,457,360 " "12/22/2015" 1457360 3433 7500 0
"7146" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4790 26 NA "B2" "146-36 WILLETS POINT BLVD                " "            " 11357 2 0 2 " 4,896 " " 2,600 " 1960 1 "B2" " 100,000 " "5/12/2016" 1e+05 2600 4896 0
"7148" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4792 24 NA "B2" "146-30 25TH   DRIVE                      " "            " 11354 2 0 2 " 3,772 " " 2,140 " 1960 1 "B2" " 825,000 " "2/17/2016" 825000 2140 3772 0
"7151" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4793 69 NA "B2" "146-11 27TH   AVENUE                     " "            " 11354 2 0 2 " 4,100 " " 2,350 " 1960 1 "B2" " 1,239,000 " "10/30/2015" 1239000 2350 4100 0
"7154" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4794 70 NA "B2" "146-11 28TH   AVENUE                     " "            " 11354 2 0 2 " 4,175 " " 2,350 " 1960 1 "B2" " 900,000 " "4/28/2016" 9e+05 2350 4175 0
"7155" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4795 18 NA "B2" "146-28 28TH   AVENUE                     " "            " 11354 2 0 2 " 4,175 " " 2,912 " 1960 1 "B2" " 985,000 " "3/10/2016" 985000 2912 4175 0
"7158" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4817 45 NA "B2" "32-38 150TH STREET                       " "            " 11354 2 0 2 " 5,400 " " 2,186 " 1930 1 "B2" " 1,205,000 " "9/18/2015" 1205000 2186 5400 0
"7159" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4818 18 NA "B1" "150-22 25TH   AVENUE                     " "            " 11357 2 0 2 " 4,000 " " 2,444 " 1965 1 "B1" " 1,330,000 " "2/4/2016" 1330000 2444 4000 0
"7160" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4819 12 NA "B2" "150-16 25TH   DRIVE                      " "            " 11354 2 0 2 " 3,800 " " 3,617 " 1940 1 "B2" " 1,400,000 " "2/5/2016" 1400000 3617 3800 0
"7161" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4819 16 NA "B3" "150-24 25TH   DRIVE                      " "            " 11354 2 0 2 " 3,800 " " 2,922 " 1935 1 "B3" " 935,000 " "5/31/2016" 935000 2922 3800 0
"7162" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4820 11 NA "B1" "150-12 26TH   AVENUE                     " "            " 11354 2 0 2 " 2,107 " " 2,304 " 1950 1 "B1" " 979,200 " "2/4/2016" 979200 2304 2107 0
"7164" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4821 51 NA "B2" "150-21 28TH   AVENUE                     " "            " 11354 2 0 2 " 4,000 " " 2,844 " 2015 1 "B2" " 1,277,903 " "6/3/2016" 1277903 2844 4000 0
"7165" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4824 5 NA "B3" "30-31 150TH   STREET                     " "            " 11354 2 0 2 " 4,400 " " 2,175 " 1925 1 "B3" " 998,000 " "8/23/2016" 998000 2175 4400 0
"7166" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4839 10 NA "B3" "32-19 MURRAY STREET                      " "            " 11354 2 0 2 " 3,600 " " 1,202 " 1920 1 "B3" " 156,500 " "8/4/2016" 156500 1202 3600 0
"7167" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4853 43 NA "B1" "154-20 BAYSIDE AVENUE                    " "            " 11354 2 0 2 " 2,750 " " 2,312 " 1940 1 "B1" " 1,135,000 " "12/1/2015" 1135000 2312 2750 0
"7169" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4860 31 NA "B9" "21-42 CLINTONVILLE STREET                " "            " 11357 2 0 2 " 1,848 " " 2,601 " 1960 1 "B9" " 858,000 " "2/5/2016" 858000 2601 1848 0
"7170" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4860 33 NA "B3" "21-46 CLINTONVILLE ST                    " "            " 11357 2 0 2 " 2,217 " " 1,908 " 1960 1 "B3" " 930,000 " "7/8/2016" 930000 1908 2217 0
"7173" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4891 8 NA "B3" "160-03 32ND   AVENUE                     " "            " 11358 2 0 2 " 5,000 " " 1,464 " 1930 1 "B3" " 850,000 " "4/18/2016" 850000 1464 5000 0
"7175" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4920 4 NA "B1" "166-08 29TH   AVENUE                     " "            " 11358 2 0 2 " 3,783 " " 1,817 " 1955 1 "B1" " 999,000 " "6/15/2016" 999000 1817 3783 0
"7176" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4952 7 NA "S2" "32-21 LINDEN STREET                      " "            " 11354 2 1 3 " 4,677 " " 2,912 " 1901 1 "S2" " 3,263,894 " "3/31/2016" 3263894 2912 4677 0
"7179" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4984 41 NA "B2" "145-29 34TH   AVENUE                     " "            " 11354 2 0 2 " 4,000 " " 1,952 " 1930 1 "B2" " 456,500 " "2/20/2016" 456500 1952 4000 0
"7180" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4985 18 NA "B2" "33-09 146TH STREET                       " "            " 11354 2 0 2 " 2,500 " " 1,752 " 1925 1 "B2" " 780,000 " "2/25/2016" 780000 1752 2500 0
"7181" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4985 36 NA "B3" "33-24 147 STREET                         " "            " 11354 2 0 2 " 4,000 " " 2,250 " 1950 1 "B3" " 875,000 " "9/8/2015" 875000 2250 4000 0
"7182" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4989 43 NA "B2" "33-44 149 PLACE                          " "            " 11354 2 0 2 " 4,465 " " 3,055 " 1950 1 "B2" " 980,000 " "12/2/2015" 980000 3055 4465 0
"7184" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 4997 48 NA "B1" "34-28 149TH STREET                       " "            " 11354 2 0 2 " 2,879 " " 1,848 " 2006 1 "B1" " 1,200,000 " "7/1/2016" 1200000 1848 2879 0
"7188" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5033 26 NA "B3" "39-14 MURRAY STREET                      " "            " 11354 2 0 2 " 2,425 " " 1,910 " 1915 1 "B3" " 871,000 " "6/29/2016" 871000 1910 2425 0
"7192" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5052 32 NA "B1" "41-21 147 STREET                         " "            " 11355 2 0 2 " 1,548 " " 2,620 " 1950 1 "B1" " 987,000 " "3/3/2016" 987000 2620 1548 0
"7193" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5052 33 NA "B1" "41-19 147TH   STREET                     " "            " 11355 2 0 2 " 1,548 " " 2,620 " 1950 1 "B1" " 990,000 " "4/20/2016" 990000 2620 1548 0
"7194" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5102 132 NA "B1" "42-10 SAULL STREET                       " "            " 11355 2 0 2 " 2,100 " " 2,950 " 1975 1 "B1" " 1,088,000 " "4/25/2016" 1088000 2950 2100 0
"7198" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5118 26 NA "B3" "5610 135TH STREET                        " "            " 11355 2 0 2 " 3,000 " " 2,064 " 1945 1 "B3" " 825,000 " "10/16/2015" 825000 2064 3000 0
"7199" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5118 34 NA "B2" "56-24 135TH   STREET                     " "            " 11355 2 0 2 " 3,000 " " 1,800 " 1920 1 "B2" " 936,243 " "6/15/2016" 936243 1800 3000 0
"7201" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5120 78 NA "B1" "56-10 137TH   STREET                     " "            " 11355 2 0 2 " 4,000 " " 2,702 " 1940 1 "B1" " 1,285,000 " "2/26/2016" 1285000 2702 4000 0
"7204" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5123 96 NA "B1" "42-65 SAULL STREET                       " "            " 11355 2 0 2 " 2,000 " " 1,672 " 1950 1 "B1" " 928,000 " "3/28/2016" 928000 1672 2000 0
"7207" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5133 10 NA "B1" "56-45 138TH STREET                       " "            " 11355 2 0 2 " 1,569 " " 1,900 " 1940 1 "B1" " 981,000 " "12/28/2015" 981000 1900 1569 0
"7211" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5147 43 NA "B2" "137-63 HOLLY AVENUE                      " "            " 11355 2 0 2 " 2,500 " " 2,060 " 1930 1 "B2" " 890,000 " "10/2/2015" 890000 2060 2500 0
"7212" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5147 147 NA "B1" "137-55 HOLLY AVENUE                      " "            " 11355 2 0 2 " 3,100 " " 2,160 " 1989 1 "B1" " 800,000 " "1/29/2016" 8e+05 2160 3100 0
"7214" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5149 26 NA "B3" "137-58 JUNIPER AVENUE                    " "            " 11355 2 0 2 " 5,000 " " 1,313 " 1920 1 "B3" " 203,700 " "12/21/2015" 203700 1313 5000 0
"7215" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5151 6 NA "B1" "137-10 LABURNUM AVENUE                   " "            " 11355 2 0 2 " 4,308 " " 2,244 " 1960 1 "B1" " 916,425 " "4/27/2016" 916425 2244 4308 0
"7216" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5151 15 NA "B1" "137-34 LABURNUM AVENUE                   " "            " 11355 2 0 2 " 4,000 " " 3,095 " 2003 1 "B1" " 1,210,000 " "11/10/2015" 1210000 3095 4000 0
"7218" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5152 5 NA "B1" "48-37 COLDEN STREET                      " "            " 11355 2 0 2 " 3,800 " " 1,300 " 1950 1 "B1" " 970,000 " "8/4/2016" 970000 1300 3800 0
"7222" 4 "FLUSHING-NORTH           " "02  TWO FAMILY DWELLINGS                    " "1" 5175 20 NA "B1" "148-07 BOOTH MEMORIAL AVENU              " "            " 11355 2 0 2 " 2,000 " " 1,260 " 1940 1 "B1" " 880,000 " "11/5/2015" 880000 1260 2000 0
